market,funding_total_usd,status,country_code,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_fincing,private_equity
News,41000000,operating,USA,2008,0,35700000,0,0,0,5300000,0
Mobile,29750000,operating,IRL,2006,0,29750000,0,0,0,0,0
CuratedWeb,1236454,operating,ITA,2012,1236454,0,0,0,0,0,0
Art,2800000,operating,USA,2007,0,2800000,0,0,0,0,0
Manufacturing,1464128,operating,CHN,2004,0,0,0,0,0,0,0
E-Commerce,6369507,operating,IND,2012,0,6369507,0,0,0,0,0
BigData,5050000,operating,USA,2013,0,5050000,0,0,0,0,0
Software,2580000,operating,SWE,,0,2580000,0,0,0,0,0
HealthandWellness,325000000,operating,USA,,0,0,0,0,0,0,325000000
Software,100000000,operating,CHN,2009,0,0,0,0,0,0,0
Biotechnology,15034750,operating,USA,1998,0,12528500,0,0,0,2506250,0
Software,250000,operating,ISR,2010,250000,0,0,0,0,0,0
Software,1610541,operating,CHN,2005,0,0,0,1610541,0,0,0
Mobile,615000,operating,SGP,2009,0,615000,0,0,0,0,0
Biotechnology,111949900,operating,USA,2006,0,110549900,0,0,0,0,0
BloggingPlatforms,50000,operating,CAN,2011,50000,0,0,0,0,0,0
Sports,,operating,USA,2014,0,0,0,0,0,0,0
News,1209701,operating,SWE,,0,1024250,0,185451,0,0,0
RealEstate,,operating,,,0,0,0,0,0,0,0
Fince,3452941,closed,USA,,0,3452941,0,0,0,0,0
Hardware+Software,600000,operating,USA,,600000,0,0,0,0,0,0
,500000,operating,USA,2007,0,500000,0,0,0,0,0
SocialFundraising,400000,operating,USA,2007,400000,0,0,0,0,0,0
,,,FRA,2006,0,0,0,0,0,0,0
CleanTechnology,16000000,operating,USA,2010,0,16000000,0,0,0,0,0
Software,50000,closed,USA,2010,50000,0,0,0,0,0,0
Software,,operating,ESP,2010,0,0,0,0,0,0,0
Services,1856561,operating,CHN,,0,1692088,0,0,0,0,0
Education,4000000,operating,IND,2001,0,4000000,0,0,0,0,0
Software,200000,operating,USA,2012,200000,0,0,0,0,0,0
Software,25000,closed,,,25000,0,0,0,0,0,0
Software,2000000,operating,CHN,2004,0,2000000,0,0,0,0,0
Tourism,,operating,USA,2011,0,0,0,0,0,0,0
E-Commerce,118000,closed,USA,2012,118000,0,0,0,0,0,0
Software,250000,acquired,,,0,0,0,0,0,0,0
Software,5844811,operating,USA,2008,0,5844811,0,0,0,0,0
,,acquired,,,0,0,0,0,0,0,0
Outsourcing,,operating,USA,2006,0,0,0,0,0,0,0
,1000000,operating,ISR,2009,1000000,0,0,0,0,0,0
Software,3000000,operating,THA,2003,0,3000000,0,0,0,0,0
Mobile,7000000,operating,RUS,2012,0,7000000,0,0,0,0,0
Software,6785876,operating,CAN,2008,0,6785876,0,0,0,0,0
E-Commerce,60000000,operating,USA,,0,60000000,0,0,0,0,0
Software,,operating,,2008,0,0,0,0,0,0,0
Software,383000,operating,AUS,2010,0,0,0,0,0,0,0
Hardware+Software,2941000,operating,USA,,0,2500000,0,0,0,441000,0
Mobile,165000000,operating,NZL,2009,0,0,0,0,0,165000000,0
CleanTechnology,474116,operating,GBR,,0,0,0,0,0,0,0
Software,250000,operating,USA,2011,0,0,0,0,0,0,0
E-Commerce,,operating,CHN,,0,0,0,0,0,0,0
Software,275000,operating,USA,2008,0,0,0,0,0,0,0
,33457,operating,FRA,2010,33457,0,0,0,0,0,0
CuratedWeb,966728,operating,BEL,2011,106626,860102,0,0,0,0,0
Software,85000000,acquired,USA,1998,0,0,0,0,0,0,85000000
CorporateIT,37644420,operating,USA,2010,0,37644420,0,0,0,0,0
,20000,operating,USA,2004,0,20000,0,0,0,0,0
MobileSocial,58000,operating,USA,2011,58000,0,0,0,0,0,0
Advertising,6000,operating,USA,2013,0,0,6000,0,0,0,0
CuratedWeb,,operating,,2007,0,0,0,0,0,0,0
Messaging,939000,operating,USA,,0,939000,0,0,0,0,0
Hospitality,,operating,,2011,0,0,0,0,0,0,0
Art,300000,operating,AUS,2004,100000,0,0,0,0,0,0
Software,95875000,operating,USA,2008,2275000,93600000,0,0,0,0,0
vigation,80000,operating,CAN,2012,0,80000,0,0,0,0,0
Software,,acquired,,,0,0,0,0,0,0,0
Software,,closed,ISR,,0,0,0,0,0,0,0
,,acquired,USA,1984,0,0,0,0,0,0,0
,,operating,USA,2012,0,0,0,0,0,0,0
Biotechnology,78089000,operating,USA,2007,0,78089000,0,0,0,0,0
Photography,25000,operating,USA,2013,25000,0,0,0,0,0,0
Transportation,,operating,USA,2013,0,0,0,0,0,0,0
Fince,500000,operating,USA,2013,0,0,500000,0,0,0,0
WineAndSpirits,2274716,operating,GBR,2012,0,2274716,0,0,0,0,0
News,,operating,USA,2010,0,0,0,0,0,0,0
Advertising,25654560,operating,USA,2007,750000,24904560,0,0,0,0,0
Maps,,operating,CZE,2007,0,0,0,0,0,0,0
ConsumerElectronics,17800000,operating,USA,1998,0,17800000,0,0,0,0,0
LifeSciences,5000000,operating,CHN,2000,0,5000000,0,0,0,0,0
Biotechnology,1000000,operating,USA,2005,0,1000000,0,0,0,0,0
Software,7650000,operating,CAN,2008,0,7650000,0,0,0,0,0
CorporateTraining,1543920,operating,FRA,2010,1543920,0,0,0,0,0,0
ArtificialIntelligence,4100000,operating,CAN,2007,0,4100000,0,0,0,0,0
EnterpriseSoftware,1623640,operating,CHN,,0,1623640,0,0,0,0,0
Fince,,operating,DEU,2000,0,0,0,0,0,0,0
Services,16000000,operating,USA,2012,0,16000000,0,0,0,0,0
Entertainment,,operating,AUS,2013,0,0,0,0,0,0,0
Fince,,operating,,,0,0,0,0,0,0,0
Software,,operating,USA,2009,0,0,0,0,0,0,0
Fashion,73047,operating,ESP,2011,73047,0,0,0,0,0,0
Mobile,2203975,operating,,2006,0,0,0,2203975,0,0,0
Sports,6700000,operating,ISR,2008,0,6700000,0,0,0,0,0
EnterpriseSoftware,,operating,CHN,,0,0,0,0,0,0,0
SocialMedia,1573976,operating,CHN,1999,0,1573976,0,0,0,0,0
Bitcoin,25000,operating,USA,2014,25000,0,0,0,0,0,0
Mobile,1629549,operating,CHN,2013,0,0,0,0,0,0,0
Mobile,1600000,operating,USA,2010,0,0,0,0,0,1600000,0
HealthandWellness,3750000,operating,,,0,3750000,0,0,0,0,0
OnlineTravel,1719583,operating,CHE,2011,375000,0,0,0,0,0,0
WebDevelopment,75000,operating,BRA,2013,75000,0,0,0,0,0,0
Biotechnology,133620,operating,ITA,2008,0,0,0,0,0,0,0
ElectronicHealthRecords,500000,closed,USA,2010,250000,0,0,0,0,0,0
CustomerService,5740000,operating,USA,2005,0,4200000,0,0,1540000,0,0
Biotechnology,1465000,operating,USA,2010,1465000,0,0,0,0,0,0
EnterpriseSoftware,28000,operating,USA,2013,28000,0,0,0,0,0,0
,250000,operating,USA,2013,0,0,0,0,0,250000,0
,380000,operating,USA,,0,380000,0,0,0,0,0
,,operating,,,0,0,0,0,0,0,0
Games,503000,closed,USA,2011,0,503000,0,0,0,0,0
3DPrinting,4500000,operating,NLD,2013,0,4500000,0,0,0,0,0
3D,1200000,operating,USA,2011,350000,0,0,0,0,0,0
,7500,operating,,2014,7500,0,0,0,0,0,0
3DTechnology,240000,operating,,2013,0,0,0,0,205000,35000,0
Drones,35000000,operating,USA,2009,0,35000000,0,0,0,0,0
Software,909940,operating,USA,2010,0,909940,0,0,0,0,0
Software,169500000,operating,USA,1986,0,19500000,0,0,0,0,0
Hardware+Software,150000,operating,USA,2009,0,150000,0,0,0,0,0
,750000,operating,USA,2012,0,0,0,0,0,750000,0
E-Commerce,400000,operating,USA,2009,0,400000,0,0,0,0,0
E-Commerce,1250000,operating,USA,1997,0,0,0,0,0,0,0
Physicians,,operating,USA,2012,0,0,0,0,0,0,0
,50000,operating,,,50000,0,0,0,0,0,0
Automotive,,operating,USA,2013,0,0,0,0,0,0,0
Software,2670000,operating,RUS,2011,1870000,0,0,0,0,0,0
Retail,530000,operating,USA,,0,0,0,0,0,530000,0
,30000,operating,,2014,30000,0,0,0,0,0,0
Video,732064,operating,,2001,0,0,0,0,0,0,0
3DPrinting,200000,operating,USA,,0,200000,0,0,0,0,0
Biotechnology,7436500,operating,USA,,0,7200000,0,0,0,236500,0
Mobile,2065000,operating,IND,2006,0,2065000,0,0,0,0,0
CuratedWeb,475000,operating,,,0,475000,0,0,0,0,0
HealthandWellness,750000,operating,USA,2009,750000,0,0,0,0,0,0
BusinessAlytics,,operating,FRA,2013,0,0,0,0,0,0,0
Mobile,1700000,operating,HUN,2009,0,1700000,0,0,0,0,0
Music,20000000,operating,USA,2003,0,20000000,0,0,0,0,0
Mobile,746185,operating,CHN,2005,0,746185,0,0,0,0,0
Semiconductors,13708150,closed,CHN,2006,0,13708150,0,0,0,0,0
Messaging,4000000,operating,USA,2005,0,4000000,0,0,0,0,0
Software,,operating,USA,2007,0,0,0,0,0,0,0
WebHosting,65000000,acquired,USA,2004,0,65000000,0,0,0,0,0
Android,1500000,acquired,,2010,1500000,0,0,0,0,0,0
SocialMedia,,,,2014,0,0,0,0,0,0,0
EnterpriseSoftware,5300000,operating,CHN,,0,5300000,0,0,0,0,0
Biotechnology,4783500,operating,ESP,,0,4783500,0,0,0,0,0
Software,25920000,operating,USA,2006,0,22520000,0,0,0,3400000,0
Software,1011601,operating,USA,2007,50000,961601,0,0,0,0,0
CuratedWeb,1500000,operating,USA,,0,1500000,0,0,0,0,0
,,operating,,2008,0,0,0,0,0,0,0
CleanTechnology,50000000,operating,GBR,,0,0,0,0,0,0,50000000
CuratedWeb,1500000,operating,CHN,2010,0,1000000,0,0,0,0,0
Game,1000000,operating,JPN,,0,1000000,0,0,0,0,0
Mobile,1394250,operating,FRA,2005,0,1394250,0,0,0,0,0
DeveloperAPIs,5000000,operating,ESP,2007,800000,0,0,0,0,0,4200000
Biotechnology,390000,operating,USA,2011,40000,0,0,0,0,0,0
Software,2000000,operating,USA,2008,2000000,0,0,0,0,0,0
HumanResources,,operating,USA,2012,0,0,0,0,0,0,0
Manufacturing,13780000,operating,FRA,,0,13780000,0,0,0,0,0
CleanTechnology,15152514,operating,GBR,2007,0,15152514,0,0,0,0,0
Software,1000000,operating,USA,2013,1000000,0,0,0,0,0,0
CleanTechnology,15000000,acquired,USA,1999,0,15000000,0,0,0,0,0
Software,272000,closed,IRL,2003,0,272000,0,0,0,0,0
OnlineShopping,25500000,operating,IRL,2004,0,25500000,0,0,0,0,0
Security,56567194,operating,USA,2002,0,53000000,0,0,0,3567194,0
FlashStorage,3393925,operating,USA,2007,0,3393925,0,0,0,0,0
Video,163934,operating,,,0,0,0,0,0,0,0
SpecialtyFoods,,operating,DEU,,0,0,0,0,0,0,0
Networking,1000,operating,BWA,2013,0,0,1000,0,0,0,0
E-Commerce,2234979,operating,USA,2009,25000,1959979,0,0,0,250000,0
,228187,operating,GBR,,228187,0,0,0,0,0,0
EnterpriseSoftware,6246800,operating,,1997,513200,5733600,0,0,0,0,0
MachineLearning,81000,operating,USA,2014,0,81000,0,0,0,0,0
Entrepreneur,1050000,operating,USA,2008,1050000,0,0,0,0,0,0
Messaging,750000,operating,USA,2010,0,750000,0,0,0,0,0
Security,38064570,acquired,USA,2004,0,38064570,0,0,0,0,0
EnterpriseSoftware,800000,operating,USA,2013,800000,0,0,0,0,0,0
Software,1000000,operating,USA,2004,0,1000000,0,0,0,0,0
CommercialRealEstate,17400000,operating,USA,2011,400000,17000000,0,0,0,0,0
Promotiol,,operating,CHE,2011,0,0,0,0,0,0,0
WebHosting,2258720,acquired,SWE,,0,2258720,0,0,0,0,0
Software,,operating,USA,2004,0,0,0,0,0,0,0
Mobile,485610,operating,SWE,,485610,0,0,0,0,0,0
Biotechnology,37956999,operating,USA,2011,0,32956999,0,0,0,5000000,0
WebDesign,,operating,USA,2014,0,0,0,0,0,0,0
Games,450000,operating,USA,1991,0,0,450000,0,0,0,0
Game,100000000,operating,KOR,,0,0,0,0,0,0,100000000
Software,,closed,USA,2006,0,0,0,0,0,0,0
Alytics,,operating,USA,2011,0,0,0,0,0,0,0
CleanTechnology,20900,operating,USA,2005,20900,0,0,0,0,0,0
CleanTechnology,1160000,operating,USA,,0,0,1160000,0,0,0,0
Mobile,3378975,operating,USA,2005,0,0,0,0,0,0,3378975
,22000,operating,USA,,0,22000,0,0,0,0,0
CloudComputing,9416354,acquired,USA,2006,0,9146354,0,0,270000,0,0
Advertising,70288000,operating,USA,2004,0,64288000,0,0,0,6000000,0
Marketplaces,1000000,operating,,2012,0,0,0,0,0,0,0
E-Commerce,500000,operating,JPN,,500000,0,0,0,0,0,0
Hardware+Software,60000000,operating,USA,2005,0,60000000,0,0,0,0,0
Mobile,10000000,operating,,2011,0,10000000,0,0,0,0,0
Kids,50000,operating,USA,2012,50000,0,0,0,0,0,0
Biotechnology,7000000,operating,USA,2011,0,0,0,0,0,0,7000000
Advertising,1121081,operating,GBR,2010,1121081,0,0,0,0,0,0
InterfaceDesign,,operating,DEU,2007,0,0,0,0,0,0,0
Pets,762500,operating,BRA,2013,0,0,0,0,0,762500,0
CuratedWeb,385980,operating,DEU,2012,0,0,0,0,0,0,385980
Software,250000,operating,USA,2004,0,250000,0,0,0,0,0
Mobile,15000,operating,USA,,15000,0,0,0,0,0,0
Games,3500000,operating,CHN,,0,3500000,0,0,0,0,0
Software,440000,operating,USA,2012,0,0,0,0,0,0,0
BusinessServices,80000,operating,,2013,30000,0,0,0,0,0,0
ConsumerElectronics,180000,operating,USA,2013,0,0,180000,0,0,0,0
Sports,,operating,USA,2011,0,0,0,0,0,0,0
Women,,operating,USA,,0,0,0,0,0,0,0
VentureCapital,,operating,FRA,2012,0,0,0,0,0,0,0
,2013000,operating,USA,,0,2013000,0,0,0,0,0
E-Commerce,12900000,acquired,USA,2010,1400000,9500000,0,0,0,2000000,0
,100000,operating,,2014,100000,0,0,0,0,0,0
Photography,9325000,operating,CAN,2009,525000,8800000,0,0,0,0,0
OnlineShopping,5000,operating,NGA,,5000,0,0,0,0,0,0
Automotive,4500000,closed,,,0,4500000,0,0,0,0,0
Carbon,,operating,CHN,2007,0,0,0,0,0,0,0
Software,27000000,operating,CHN,2005,0,27000000,0,0,0,0,0
RealEstate,2928257,operating,CHN,2009,0,0,0,0,0,0,0
E-Commerce,9300000,operating,CHN,2002,0,9300000,0,0,0,0,0
HealthCare,389673,operating,CHN,2012,0,0,0,0,0,0,0
Fince,10000000,operating,CHN,,0,10000000,0,0,0,0,0
E-Commerce,1158814,operating,CHN,,0,1000000,0,158814,0,0,0
Education,,operating,CHN,2001,0,0,0,0,0,0,0
OnlineShopping,20000000,operating,CHN,2006,0,20000000,0,0,0,0,0
CuratedWeb,10000000,operating,CHN,,0,10000000,0,0,0,0,0
CareerMagement,,operating,CHN,2010,0,0,0,0,0,0,0
Education,65100000,operating,CHN,2011,0,65100000,0,0,0,0,0
Games,1500000,operating,CHN,2007,0,1500000,0,0,0,0,0
Games,1000000,operating,CHN,,0,1000000,0,0,0,0,0
Manufacturing,,operating,,2003,0,0,0,0,0,0,0
,,operating,USA,2009,0,0,0,0,0,0,0
Software,3000000,operating,,2011,0,3000000,0,0,0,0,0
E-Commerce,200000000,operating,CHN,2010,0,200000000,0,0,0,0,0
Photography,30000000,acquired,CHN,2005,0,30000000,0,0,0,0,0
Software,876780000,operating,CHN,2005,0,140780000,0,0,0,0,0
CuratedWeb,10000000,operating,CHN,,0,10000000,0,0,0,0,0
WebDesign,5100000,operating,GBR,2011,5100000,0,0,0,0,0,0
Technology,6100000,operating,USA,2008,0,0,0,0,0,0,0
Photography,,acquired,,2012,0,0,0,0,0,0,0
WebDevelopment,368750,operating,,2007,0,0,0,0,0,0,0
Medical,,operating,USA,,0,0,0,0,0,0,0
Software,8000000,operating,USA,,0,0,0,0,0,8000000,0
Video,12800000,acquired,USA,2007,0,12500000,0,0,0,0,0
SocialMedia,15873,operating,GBR,2011,15873,0,0,0,0,0,0
,,operating,USA,2009,0,0,0,0,0,0,0
Software,50000,operating,USA,2006,50000,0,0,0,0,0,0
Games,3987693,acquired,KOR,2013,3987693,0,0,0,0,0,0
SocialMedia,30000,operating,,,30000,0,0,0,0,0,0
Distribution,250000,operating,USA,2012,250000,0,0,0,0,0,0
Mobile,7000000,operating,USA,2008,0,7000000,0,0,0,0,0
MobileGames,3000000,operating,USA,2009,0,3000000,0,0,0,0,0
InternetMarketing,17129760,acquired,USA,2009,0,15302260,0,0,0,1827500,0
Fince,1300000,acquired,GBR,2009,300000,1000000,0,0,0,0,0
CuratedWeb,100000,operating,USA,2010,0,0,0,0,0,0,0
Software,3050000,operating,USA,2013,2700000,0,0,0,350000,0,0
RealEstate,,operating,,,0,0,0,0,0,0,0
Education,,operating,CHN,,0,0,0,0,0,0,0
WebHosting,2000000,operating,USA,2009,0,2000000,0,0,0,0,0
EnterpriseSoftware,25250000,operating,USA,2008,0,10700000,0,0,0,14550000,0
,100000,operating,USA,2009,0,0,0,0,0,100000,0
Mobile,1000000,operating,,2013,0,1000000,0,0,0,0,0
Photography,30500000,operating,CHN,,0,30500000,0,0,0,0,0
Security,,operating,ISR,2011,0,0,0,0,0,0,0
PredictiveAlytics,12000000,operating,USA,2013,0,12000000,0,0,0,0,0
,4000000,operating,USA,2013,0,4000000,0,0,0,0,0
Fince,3134880,operating,ITA,,0,3134880,0,0,0,0,0
Software,6700000,acquired,USA,2004,0,6700000,0,0,0,0,0
notechnology,,operating,USA,2013,0,0,0,0,0,0,0
Games,52588928,operating,HKG,2008,0,52588928,0,0,0,0,0
Software,23857750,operating,DEU,2010,0,23857750,0,0,0,0,0
E-Commerce,6528902,closed,USA,2006,3800000,2368902,0,0,0,360000,0
HealthandWellness,,operating,USA,2013,0,0,0,0,0,0,0
,150000,operating,,,150000,0,0,0,0,0,0
Biotechnology,1613014,operating,USA,1997,0,1613014,0,0,0,0,0
Games,10000000,operating,USA,,0,10000000,0,0,0,0,0
EnterpriseSoftware,295000,operating,JPN,,295000,0,0,0,0,0,0
SmallandMediumBusinesses,2450000,operating,USA,2011,450000,0,0,0,0,0,0
PredictiveAlytics,190035,operating,FIN,2012,190035,0,0,0,0,0,0
E-Commerce,3107198,operating,,2011,0,3107198,0,0,0,0,0
Manufacturing,,operating,,,0,0,0,0,0,0,0
CuratedWeb,650000,closed,NZL,2010,650000,0,0,0,0,0,0
,2875000,operating,USA,2011,2875000,0,0,0,0,0,0
Manufacturing,1500000,operating,USA,2012,0,0,0,0,0,1500000,0
CleanTechnology,11110000,operating,USA,2009,0,9400000,0,0,0,1710000,0
SocialMedia,47566,operating,GBR,2011,0,47566,0,0,0,0,0
Music,20100000,acquired,GBR,2004,0,18500000,0,0,0,1600000,0
Games,,operating,CHN,2006,0,0,0,0,0,0,0
Games,1136548,operating,CHN,2003,0,0,0,0,0,0,0
Software,460775,operating,USA,2013,0,460775,0,0,0,0,0
Games,3989751,operating,CHN,2008,0,3989751,0,0,0,0,0
WebHosting,9850000,operating,USA,2006,0,9850000,0,0,0,0,0
SEO,600000,operating,USA,2009,600000,0,0,0,0,0,0
Publishing,269260,operating,NLD,2013,269260,0,0,0,0,0,0
PersolFince,18500000,operating,HKG,2012,0,18500000,0,0,0,0,0
,,operating,USA,,0,0,0,0,0,0,0
SocialMedia,2100000,closed,CAN,,0,2100000,0,0,0,0,0
WebHosting,34000000,operating,CHN,2004,0,34000000,0,0,0,0,0
E-Commerce,100000,operating,USA,2012,0,100000,0,0,0,0,0
CuratedWeb,,operating,USA,2006,0,0,0,0,0,0,0
,,operating,USA,,0,0,0,0,0,0,0
HealthandWellness,5100000,operating,USA,2011,0,5100000,0,0,0,0,0
DigitalEntertainment,27000000,operating,USA,2012,2000000,25000000,0,0,0,0,0
,400000,operating,USA,,0,400000,0,0,0,0,0
E-Commerce,,operating,CHN,2012,0,0,0,0,0,0,0
Mobile,,operating,DEU,,0,0,0,0,0,0,0
TaskMagement,,closed,,2008,0,0,0,0,0,0,0
Advertising,140000,operating,GBR,2013,140000,0,0,0,0,0,0
VirtualWorlds,12250000,closed,USA,,0,12250000,0,0,0,0,0
BigData,,operating,TUR,2012,0,0,0,0,0,0,0
Fashion,,operating,USA,2012,0,0,0,0,0,0,0
Exercise,200000,operating,,2014,200000,0,0,0,0,0,0
PublicRelations,1500000,closed,ISR,,1500000,0,0,0,0,0,0
CleanTechnology,30000000,operating,USA,,0,30000000,0,0,0,0,0
Technology,79501,operating,SGP,2014,39473,0,0,0,0,0,0
Fashion,,operating,USA,2013,0,0,0,0,0,0,0
E-Commerce,15590000,acquired,USA,2008,0,15000000,0,0,0,0,0
Music,2779980,operating,USA,2008,1500000,1279980,0,0,0,0,0
Travel,24600000,operating,CHN,2011,0,24600000,0,0,0,0,0
Mobile,150000,operating,SGP,2011,0,0,0,0,150000,0,0
Telecommunications,30608728,acquired,USA,1987,0,0,0,0,0,0,30608728
Consulting,4500000,operating,USA,2013,0,0,0,0,0,0,0
Manufacturing,17700000,operating,USA,2012,0,15100000,0,0,0,0,0
News,23800000,operating,GBR,2011,0,23800000,0,0,0,0,0
Television,100000,operating,ISR,2013,0,0,0,0,0,0,0
Mobile,20000000,operating,CHN,,0,20000000,0,0,0,0,0
Mobile,317460,operating,,,0,0,0,317460,0,0,0
Mobile,30000000,acquired,CHN,2010,0,0,0,0,0,0,0
,,operating,USA,2013,0,0,0,0,0,0,0
,15000,operating,USA,,15000,0,0,0,0,0,0
